City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,mandalgovi,45.7625,106.2708,-9.29,32,0,5.87,MN,1675234390
118,flint,43.0125,-83.6875,-11.64,77,75,4.12,US,1675234349
119,ferrol,43.4832,-8.2369,6.86,86,58,4.05,ES,1675234391
120,prince rupert,54.3161,-130.3201,5.83,86,100,9.77,CA,1675234393
121,new norfolk,-42.7826,147.0587,18.73,31,4,1.34,AU,1675234394
122,saint-philippe,-21.3585,55.7679,28.95,84,100,4.9,RE,1675234396
123,victoria,22.2855,114.1577,24.98,76,84,3.58,HK,1675234253
124,karasjok,69.4719,25.5112,-3.31,95,100,4.21,NO,1675234397
125,tessalit,20.1986,1.0114,14.66,13,6,2.77,ML,1675234398
126,pavlodar,52.3,76.95,-14.11,78,70,0.0,KZ,1675234253
127,iqaluit,63.7506,-68.5145,-26.15,76,75,7.2,CA,1675234399
128,college,64.8569,-147.8028,-9.96,78,100,2.06,US,1675234401
129,vallenar,-28.5708,-70.7581,18.99,68,0,0.99,CL,1675234401
130,bichena,10.45,38.2,18.63,25,8,2.23,ET,1675234402
131,bethel,41.3712,-73.414,-2.21,61,100,2.57,US,1675234403
132,airai,-8.9266,125.4092,20.33,85,100,1.19,TL,1675234404
133,avera,33.194,-82.5271,15.31,93,100,3.44,US,1675234404
134,faya,18.3851,42.4509,16.29,33,5,2.43,SA,1675234405
135,madison heights,42.4859,-83.1052,-9.54,78,0,2.06,US,1675234406
136,beringovskiy,63.05,179.3167,-7.35,98,80,3.25,RU,1675234293
137,ambon,-3.6954,128.1814,29.08,79,40,0.51,ID,1675234407
138,constitucion,-35.3333,-72.4167,12.12,79,0,2.46,CL,1675234407
139,torbay,47.6666,-52.7314,-2.46,93,100,10.29,CA,1675234408
140,bredasdorp,-34.5322,20.0403,23.53,65,83,4.7,ZA,1675234409
141,yulara,-25.2406,130.9889,33.98,11,0,8.87,AU,1675234409
142,kuytun,54.3419,101.5036,-12.33,81,100,1.21,RU,1675234410
143,kodiak,57.79,-152.4072,2.73,87,100,4.12,US,1675234410
